Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-09-02 00:00:00-04:00,933.2151006714276,939.0312030625806,931.1472097902763,933.3742065429688,1793900,0.0,0.0
2025-09-03 00:00:00-04:00,933.5531927623044,944.5788902902517,931.0676943790181,944.2706909179688,1670500,0.0,0.0
2025-09-04 00:00:00-04:00,947.8696043743313,953.9341956238324,945.5928492195287,950.3551025390625,1471900,0.0,0.0
2025-09-05 00:00:00-04:00,953.148823927292,963.9259102581342,950.6732167210704,957.89111328125,1928500,0.0,0.0
2025-09-08 00:00:00-04:00,958.1396918204643,966.6997940884442,953.0295534302429,966.2125854492188,1737000,0.0,0.0
2025-09-09 00:00:00-04:00,964.3732978094284,974.1860398099698,957.5232502336872,973.5696411132812,1496800,0.0,0.0
2025-09-10 00:00:00-04:00,970.726239582781,975.3094836529953,948.4263572433756,950.7427978515625,2277500,0.0,0.0
2025-09-11 00:00:00-04:00,952.244058598278,959.5613507383054,948.7445183945437,958.7262573242188,1532000,0.0,0.0
2025-09-12 00:00:00-04:00,954.7196197039573,963.9458182938397,954.4313237534394,962.2855224609375,1461600,0.0,0.0
2025-09-15 00:00:00-04:00,962.2059506490402,964.1147962683868,954.1430090835681,954.5307006835938,2199400,0.0,0.0
2025-09-16 00:00:00-04:00,953.5364915303011,954.0137484410251,945.2846497606079,946.5473022460938,2012600,0.0,0.0
2025-09-17 00:00:00-04:00,947.959025977033,958.3881663213825,947.959025977033,957.4437255859375,1556800,0.0,0.0
2025-09-18 00:00:00-04:00,951.816580534296,956.9565739329436,945.1554330772422,946.8356323242188,1860900,0.0,0.0
2025-09-19 00:00:00-04:00,949.4603301311843,951.8861788469313,938.3153341490523,945.642578125,4606000,0.0,0.0
2025-09-22 00:00:00-04:00,941.8844871550311,944.4892843267912,934.1595395905306,937.7883911132812,2794300,0.0,0.0
2025-09-23 00:00:00-04:00,937.2913104059656,939.5083553528063,928.0850154871215,938.1264038085938,3258500,0.0,0.0
2025-09-24 00:00:00-04:00,938.8024956169024,948.1280287423707,937.6392388056166,939.7867431640625,2149800,0.0,0.0
2025-09-25 00:00:00-04:00,946.925130887585,947.4719283637453,930.1927397579848,937.838134765625,2991500,0.0,0.0
2025-09-26 00:00:00-04:00,920.1811912915284,922.2491429190825,899.8001047264926,910.6369018554688,4812900,0.0,0.0
2025-09-29 00:00:00-04:00,911.02461959339,911.8994591568494,898.0502700933295,911.551513671875,4107000,0.0,0.0
2025-09-30 00:00:00-04:00,910.9350870843747,925.1123784761057,908.0717883135935,920.2606811523438,3096700,0.0,0.0
2025-10-01 00:00:00-04:00,917.646001493443,918.6402008450069,905.8846061737311,912.0188598632812,2642100,0.0,0.0
2025-10-02 00:00:00-04:00,907.2664258607597,913.181923278292,904.7312300192755,911.4520263671875,2063800,0.0,0.0
2025-10-03 00:00:00-04:00,910.2788720365285,912.7742610558774,905.9143229859801,910.070068359375,2319200,0.0,0.0
2025-10-06 00:00:00-04:00,910.1894300247486,910.4678349467725,899.0046882576504,905.6558837890625,2504000,0.0,0.0
2025-10-07 00:00:00-04:00,903.4586724594526,912.317021831173,898.6368303297678,909.4934692382812,2601800,0.0,0.0
2025-10-08 00:00:00-04:00,907.2465692058385,911.0643210569008,905.6757780683259,909.4934692382812,2376900,0.0,0.0
2025-10-09 00:00:00-04:00,926.9018873186244,938.29543240876,921.9010967155538,937.4205322265625,3742900,0.0,0.0
2025-10-10 00:00:00-04:00,938.9416805414743,939.965734941546,923.6111444139257,924.6152954101562,3142500,0.0,0.0
2025-10-13 00:00:00-04:00,923.6111725337882,930.5506644013933,917.6459765863149,930.1331176757812,2169600,0.0,0.0
2025-10-14 00:00:00-04:00,934.8058466394673,941.9242869514803,930.5208500694445,941.0195922851562,1925900,0.0,0.0
2025-10-15 00:00:00-04:00,940.5125364329377,958.4081238069259,939.7768386609846,949.4503784179688,2009800,0.0,0.0
2025-10-16 00:00:00-04:00,949.9971578798032,952.3435142975387,915.8165817892118,920.250732421875,2721400,0.0,0.0
2025-10-17 00:00:00-04:00,924.1877755247817,933.3741670818115,922.7660778486803,930.8986206054688,2502200,0.0,0.0
2025-10-20 00:00:00-04:00,930.759423538337,934.3484683647503,926.0966265020807,930.6798706054688,1523700,0.0,0.0
2025-10-21 00:00:00-04:00,930.6798770452579,937.8977735550166,929.5763304036458,932.0618286132812,1448200,0.0,0.0
2025-10-22 00:00:00-04:00,934.5473498312437,947.4719408395481,927.0908550187603,939.2001953125,2372400,0.0,0.0
2025-10-23 00:00:00-04:00,939.9855938732109,939.9855938732109,929.0693048514044,936.58544921875,1974800,0.0,0.0
2025-10-24 00:00:00-04:00,934.5473017542614,937.5298995258175,924.7544633434281,926.73291015625,1639400,0.0,0.0
2025-10-27 00:00:00-04:00,924.8141346164572,927.7867807563591,919.7536335787106,924.4561767578125,1967600,0.0,0.0
2025-10-28 00:00:00-04:00,921.4934962722537,925.321139287928,914.8622039612118,918.7991943359375,2090800,0.0,0.0
2025-10-29 00:00:00-04:00,913.6691063248068,914.5440065150578,904.0253615102932,907.1272583007812,2449600,0.0,0.0
2025-10-30 00:00:00-04:00,907.3956817280826,917.6458731822129,905.0891322732377,914.8422241210938,2677100,0.0,0.0
